languagekey,en_value (current),hi_translated,hi_transliterated,hi_value(curated),ta_translated,ta_transliterated,ta_value (curated)
en.termsandcondition.p21,Ensure personal and profile details are accurate and kept up to date with the Platform;,,,,,,
en.termsandcondition.p22,"Understand that the User is solely responsible for any use of the account using his/her username and password, whether or not such use has been authorized by the User",,,,,,
en.termsandcondition.p23,"Unless stated otherwise, Karmayogi Bharat or the Platform do not claim ownership of the content a Service Provider publishes on the Platform. After publishing of the content, the Service Provider shall continue to retain all ownership to the content, subject to the license terms described.",,,,,,
en.termsandcondition.p24,"It is warranted that any material or information that is available on the Platform, including, for example, any training material, exam or assessment questions, documents, presentation or related content, is lawful content of the Service Providers and that the Platform and the Service Provider have all necessary rights to create, use, modify, and publish the material or information or training. User will be liable for any damage resulting from User making any material or information available through the Platform to non-authorized Users.",,,,,,
en.termsandcondition.p25,"Though all efforts have been made to ensure the accuracy and currency of the content on the Platform, the same should not be construed as a statement of law or used for any legal purposes. In case of any ambiguity or doubts, Users are advised to verify/check with the concerned Ministry/Department/Organization and/or other source(s), and to obtain appropriate professional advice.",,,,,,
en.termsandcondition.p26,Hyperlinking Policy:,,,,,,
en.termsandcondition.p27,Links to external websites/portals,,,,,,
en.termsandcondition.p28,"At many places on the Platform, the User shall find links to other websites/portals. These links have been placed for the convenience of the User. The Platform is not responsible for the contents of the linked websites and does not necessarily endorse the views expressed in them. Mere presence of the link or its listing on the Platform should not be assumed as endorsement of any kind. The Platform cannot guarantee that these links will work all the time and have no control over availability of linked destinations.",,,,,,
en.termsandcondition.p29,Links to the Platform by other websites/portals,,,,,,
en.termsandcondition.p30,"The User shall be free link the information on the Platform to other websites. However, the Platform needs to be informed about any links provided to it so that User can be informed of any changes or updates therein. Also, the Platform does not permit its pages to be loaded into frames on any other website. The pages belonging to the Platform must load into a newly opened browser window of the User.",,,,,,
en.termsandcondition.p31,"The Content on the Platform is for the use by the Users only and not for commercial exploitation. A User may not decompile, reverse engineer, disassemble, rent, lease, loan, sell, sublicense, or create derivative works from the Platform. Nor may User use any network monitoring or discovery software to determine the site architecture, or extract information about usage, individual identities or users. A User will not use any robot, spider, other automatic software or device, or manual process to monitor or copy the Platform without the Platform’s prior written permission. A User will not copy, modify, reproduce, republish, distribute, display, or transmit for commercial, non-profit or public purposes all or any portion of the Platform, except to the extent permitted by the copyright policy of this terms of use. Any unauthorized use of the Platform is prohibited. The use of any software (e.g. bots, scraper tools) or other automatic devices to access, monitor or copy the Platform is prohibited unless expressly authorized by the Platform in writing",,,,,,
en.termsandcondition.p32,"The Platform and its managers have no obligation to, and do not and cannot review every item of material or information that Service Provider make available through the Platform and are not responsible for any content of this material or information. However, the Platform reserves the right to delete, move, or edit any material or information that it deems, in its sole discretion, unacceptable, defamatory, abusive, or otherwise in violation of any law or that infringes or violates any rights of any other person or entity. Further, the Platform reserves the right, at all times, to disclose any material or information as necessary to satisfy any law, regulation, or governmental request.",,,,,,
en.termsandcondition.p33,"User expressly agrees that use of the Service and the Platform is at the sole risk of the User. Neither the Platform nor any of its managers, employees, agents, distributors, third party content providers, or licensors (and their respective directors, officers, employees, and agents) warrant that the service or the Platform will be compatible on all devices or operating systems, uninterrupted or error free or that they will be free of viruses or other harmful components nor do they make any warranty as to the results that may be obtained from the use of the Platform or as to the accuracy, reliability, completeness, or contents of any content, information, material, postings, or posting responses found on the Platform, or any services provided through the Platform, or any links to other sites or services made available on the Platform.",,,,,,
en.termsandcondition.p34,"The courses, trainings, all content, material, information, found on the platform, are provided on an 'as is' basis without warranties of any kind, either expressed or implied. To the maximum extent permitted by law, the Platform makes no representations or warranties about the validity, accuracy, correctness, reliability, quality, stability, completeness or correctness of any information provided on or through the Platform or on any of the external links that are made available on the Platform. The Platform makes no representation that the services or training providing over the Platform would guarantee any promotions, advancements, raise, etc., professionally or academically.",,,,,,
en.termsandcondition.p35,"Notwithstanding anything in the terms and conditions to the contrary, under no circumstances, including, but not limited to negligence, the Platform or its managers, any of its affiliates, assignees, successors-in-interest, employees, agents, distributors, third party content providers, partners, licensees, licensors, or sponsors or any of their respective directors, officers, employees, agents and independent contractors be liable for any direct, indirect, incidental, special or consequential damages, losses or expenses arising out of or relating to the use of, the misuse of, or the inability to use, any content, information, material, modules, features, links or other elements on the Platform or any failure of performance, error, omission, interruption, inconvenience, unauthorized access, defect, incorrect sequencing, delay in operation or transmission, virus, configuration or compatibility problem, or line or system failure. These limitations apply regardless of whether the party liable or allegedly liable was advised, had other reason to know, or in fact knew of the possibility of such damages, losses or expenses. User specifically acknowledge and agree that the Platform and/or any of its officers will not be liable for any defamatory, offensive or illegal conduct of any User.",,,,,,
en.termsandcondition.p36,"To the maximum extent permitted by applicable law, User will defend, indemnify and hold harmless the Platform and any of its managers, parts, subsidiaries, affiliates, employees, agents, distributors, third party content providers, or licensors (and their respective directors, officers, employees, and agents)) from and against all claims, liability, and expenses, including attorneys' fees and legal fees and costs, arising out of use of the Platform and/or breach of any provision of the terms and conditions. The Platform reserves the right, in its sole discretion and at its own expense, to assume the exclusive defense and control of any matter otherwise subject to indemnification by User. User will cooperate as fully as reasonably required in the defense of any claim.",,,,,,
en.termsandcondition.p37,"Any submissions made on the Platform by the User for assessment or for any other purpose, shall be the sole responsibility of the User and the User shall ensure that all submissions made on the Platform are compliant with the current terms and conditions. The Platform does not and cannot verify the contents of the submissions by each User and disclaims any liability from any harm, damage, injury, insult, etc., caused by the submission made by the User. In accordance with the Privacy Policy of the Platform and subject to the restrictions mentioned therein, the Platform shall be free to use any information, data, submissions, made by the User.",,,,,,
en.termsandcondition.p38,"The Platform may terminate the User's use of the Platform, or discontinue the service, at any time for breach of any of the terms and conditions and/or failure to pay for the training course or services. The Platform shall have the right, immediately upon notice, to terminate a User's use of the service in the event of any conduct by User is considered to be unacceptable, or in the event of any breach by the terms and conditions or if User is in violation of any applicable law.",,,,,,
en.termsandcondition.p39,"Any disputes arising out of use of the Platform and the present terms and conditions shall be governed exclusively by the applicable laws of India, irrespective of the location of the User, without giving effect to their conflict of laws principles. User expressly consent to the exclusive jurisdiction, and venue of the Courts of New Delhi, India.",,,,,,
en.termsandcondition.p40,"The Platform and the User acknowledge that other generally accepted standard terms and conditions and legal contractual obligations would apply wherever required and in case of any query or feedback for the Platform, User may use the feedback feature on the Platform or visit",,,,,,
en.termsandcondition.p41,https://karmayogibharat.gov.in/,,,,,,
en.termsandcondition.p42,Disclaimer for Content Published on Platform:,,,,,,
en.termsandcondition.p43,"All content published on Karmayogi platform is provided by various Ministries, Departments and other public and authorised private organisations. The concerned course publishers ensure the accuracy and currency of the content on this platform. Many courses provided by various departments relate to policies, rules, guidelines as applicable on the date of publication of the course.  All courses publishers strive to keep the most updated content, however the latest position of any law, rules, guidelines etc. may be accessed from the website of the concerned Ministries.",,,,,,
en.termsandcondition.p44,"In no event will the Government of India or Karmayogi Bharat SPV be liable for any expense, loss or damage including, without limitation, indirect or consequential loss or damage, or any expense, loss or damage whatsoever arising from use, or loss of use, of data, arising out of or in connection with the use of this platform. The platform makes no representations or warranties of any kind, express or implied, about the completeness, accuracy, reliability, suitability or availability of the published content. Links to other websites that have been included on this platform are provided for convenience only.",,,,,,
en.termsandcondition.p45,I Agree,,,,,,
en.profilehome.welcomeMsg,Welcome to the Portal,,,,,,
en.profilehome.prev,Previous: ,,,,,,
en.profilehome.autoSave,Your selections are automatically saved.,,,,,,
en.profilehome.done,Done,,,,,,
en.profilehome.next,Next: ,,,,,,
en.profilehome.welcomeDescription,Welcome to the Portal,,,,,,
en.profilehome.roleAndActivities,Role & Activities,,,,,,
en.profilehome.topics,Topics,,,,,,
en.profilehome.welcome,Welcome,,,,,,
en.profilehome.currentCompetencies,Current competencies,,,,,,
en.profilehome.desiredCompetencies,Desired competencies,,,,,,
en.profilehome.platformWalkthrough,Platform walkthrough,,,,,,
en.profilehome.roleAndActivitiesDescription,Enter all your roles and activities to complete your profile,,,,,,
en.profilehome.topicsDescription,Choose the topics of your interest,,,,,,
en.profilehome.currentCompetenciesDescription,Choose the 'current competencies' you are skilled with,,,,,,
en.profilehome.desiredCompetenciesDescription,Choose the competencies you desire to possess,,,,,,
en.profilehome.platformWalkthroughDescription,Watch the iGOT platform walkthrough,,,,,,
en.welcomeonboard.welcomeToiGOT,Welcome to iGOT,,,,,,
en.welcomeonboard.note,"Let us take you through a quick guided onboarding to understand your interests at work. Knowing you better helps us give you a more personalized experience on the platform. This way you discover relevant and useful learning content in the easiest way possible. And don’t worry, you can always update your interests later!",,,,,,
en.rolesandactivities.roleHeader,Please list down your roles & activities as part of your position,,,,,,
en.rolesandactivities.rolesDescription,"Feel free to enter details in your own words, to the best of your understanding. This information will help us tailor a more personalized experience and add more relevant content on the platform.",,,,,,
en.rolesandactivities.addRole,Add role,,,,,,
en.rolesandactivities.editRole,Edit role,,,,,,
en.rolesandactivities.whatIsRole,What is a role?,,,,,,
en.rolesandactivities.roleIsMandatory,Role is mandatory,,,,,,
en.rolesandactivities.typeRoleName,Type the role name,,,,,,
en.rolesandactivities.typeTheActivity,Type the activity and press enter,,,,,,
en.rolesandactivities.addActivitiesForRole,Add activities you perform as part of this role,,,,,,
en.rolesandactivities.whatIsActivity,What is an activity?,,,,,,
en.rolesandactivities.activityIsMandatory,Activity is mandatory,,,,,,
en.rolesandactivities.addActivities,Add activities,,,,,,
en.rolesandactivities.startAddingActivities,Start adding the activities.,,,,,,
en.rolesandactivities.addRoleandActivities,Add role and activities,,,,,,
en.rolesandactivities.updateRoleandActivities,Update  role and activities,,,,,,
en.rolesandactivities.confirmationNeeded,Confirmation Needed,,,,,,
en.rolesandactivities.delete,Delete,,,,,,
en.rolesandactivities.edit,Edit,,,,,,
en.rolesandactivities.confirmToDeleteRoles:,Do you want to delete the role and associated activities?,,,,,,
en.dialogconfirm.yes,Yes,,,,,,
en.dialogconfirm.no,NO,,,,,,
en.dialogbox.whatIsActivity?,What is an activity?,,,,,,
en.dialogbox.p1,Activities are a set of actions taken to contribute towards the various roles one performs within a position.,,,,,,
en.dialogbox.whyItIsImportant,Why is it important?,,,,,,
en.dialogbox.p2,"Activities speak directly to the execution capacity of an individual public official by providing details on the mandate of their position, and how it is distinguished from other positions in the government.",,,,,,
en.dialogbox.example,Example:,,,,,,
en.dialogbox.p3,Role: Ensures inclusion and accuracy of facts in vigilance related proposals,,,,,,
en.dialogbox.activities,Activities:,,,,,,
en.dialogbox.p4,"Checks the facts with regards to proposal keeping in mind existing rules, provisions, and legal precedents",,,,,,
en.dialogbox.p5,Supplies missing facts to a proposal if any information is missing,,,,,,
en.dialogbox.p6,Supports drafting of proposals,,,,,,
en.dialogbox.p7,Quotes previous precedents by referring to existing rules,,,,,,
en.dialogbox.whatIsRole,What is a role?,,,,,,
en.dialogbox.p8,Roles describe the overall objective of a group of activities and how they contribute to the position.,,,,,,
en.dialogbox.p9,"Roles help understand the mandate of a position. There could be similar positions across the government, but differentiated by the roles they form. Roles help articulate these distinctions by highlighting why the position exists and how it works towards larger organisational goals and priorities.",,,,,,
en.dialogbox.p10,Ensures inclusion and accuracy of facts in vigilance proposals.,,,,,,
en.dialogbox.p11,Coordinates and manages relationships with various stakeholders,,,,,,
en.dialogbox.p12,Manages grievance redressal mechanisms,,,,,,
en.dialogbox.whatAreCompetencies,What are competencies?,,,,,,
en.dialogbox.p13,"Competencies are a combination of attitudes, skills, and knowledge that enable an individual to perform a task or activity successfully in a given job and roles are the starting point for arriving at them.",,,,,,
en.dialogbox.p14,"There are three types of competencies: Behavioural, Functional and Domain",,,,,,
en.dialogbox.p15,Competencies help with: ,,,,,,
en.dialogbox.p16,Providing information on individual requirements from a role,,,,,,
en.dialogbox.p17,Identifying learning and development needs for government officials,,,,,,
en.dialogbox.p18,Streamlining the recruitment process,,,,,,
en.dialogbox.p19,Competency Label: Noting and Drafting,,,,,,
en.dialogbox.p20,Competency Type: Functional,,,,,,
en.dialogbox.p21,"Description: Drafts and analyses a note, in order, in order to move a proposal for ",,,,,,
en.dialogbox.p22,decision making on the availability of evidence and existing rules and precedents.,,,,,,
en.dialogbox.p23,Competency Label: Communication Skills,,,,,,
en.dialogbox.p24,Competency Type: Behavioural,,,,,,
en.dialogbox.p25,"Description: Articulates information to others in a language that is clear, concise, and  easy to understand. It also includes the ability to listen and understand the unspoken feelings and concerns of others. ",,,,,,
en.dialogbox.p26,Competency Label: Regulatory and Legal Advisory ,,,,,,
en.dialogbox.p27,Competency Type: Domain,,,,,,
en.dialogbox.p28,Description: Provides advice to business and management stakeholders on regulatory compliance and legal matters related to support business decision making ,,,,,,
en.apptopic.topicHeader,Add topic,,,,,,
en.apptopic.noTopicfound,Not finding a topic of your interest?,,,,,,
en.addtopicdialog.topicHeader,Create the topic,,,,,,
en.addtopicdialog.typeHere,Type here,,,,,,
en.addtopicdialog.add,Add,,,,,,
en.addtopicdialog.cancel,Cancel,,,,,,
en.topiccard.seeLess,SEE LESS,,,,,,
en.topiccard.see,SEE,,,,,,
en.topiccard.moreTopics,MORE TOPICS,,,,,,
en.currentcompetencies.header,Select competencies you're skilled with,,,,,,
en.currentcompetencies.whatAreCompetencies,What are competencies?,,,,,,
en.currentcompetencies.description,Feel free to select the competency and level that you feel match your current skills. This does not need to be exact. This information helps us give you a more personalized experience and provide even more relevant content.,,,,,,
en.currentcompetencies.searchHere,Search here,,,,,,
en.currentcompetencycard.selectLevel,Select level,,,,,,
en.desiredcompetencies.header,Select competencies you want to possess,,,,,,
en.desiredcompetencies.whatAreCompetencies,What are competencies?,,,,,,
en.desiredcompetencies.description,Feel free to select competencies that you feel will help you improve and deliver better at your workplace. This does not need to be exact. This information helps us give you a more personalized experience and provide even more relevant content.,,,,,,
en.desiredcompetencies.searchHere,Search here,,,,,,
en.desiredcomptencycard.selectLevel,Select level,,,,,,
en_RainDashboard.common.noDataFound,No data found,,,,,,
en_RainDashboard.filternavigation.backToOverview,Back to overview,,,,,,
en_RainDashboard.filternavigation.search,Search,,,,,,
en_RainDashboard.filternavigation.period,Period,,,,,,
en_RainDashboard.filternavigation.presets,Presets,,,,,,
en_RainDashboard.filternavigation.custom,Custom,,,,,,
en_RainDashboard.filternavigation.last7days,Last 7 days,,,,,,
en_RainDashboard.filternavigation.last30days,Last 30 days,,,,,,
en_RainDashboard.filternavigation.last3months,Last 3 months,,,,,,
en_RainDashboard.filternavigation.last6months,Last 6 months,,,,,,
en_RainDashboard.filternavigation.all,All,,,,,,
en_RainDashboard.messagecard.dismiss,Dismiss,,,,,,
en_SurveyLibrary.common.labelQuestions,Questions,,,,,,
en_SurveyLibrary.common.btnSubmit,Submit,,,,,,
en_SurveyLibrary.common.Reset,Reset,,,,,,
en_SurveyLibrary.common.characterRemaining:,Character remaining:,,,,,,
en_SurveyLibrary.msg.thankYouFeedback,Thank you for your valuable feedback,,,,,,
en_SurveyLibrary.msg.commentQuestion,This question is not answered,,,,,,
